mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
25.6735,2.9521,11.5128,-0.594641,-0.594641,0.0692692
25.499,2.9649,9.50224,-0.527229,-0.527229,0.0640595
25.5371,2.9644,9.70356,-0.541678,-0.541678,0.0639019
25.4619,2.96252,11.0647,-0.556587,-0.556587,0.068506
25.4727,2.96633,11.0696,-0.540802,-0.540802,0.0645202
25.5395,2.95905,10.5618,-0.528763,-0.528763,0.0648354
25.5078,2.95672,10.2463,-0.528065,-0.528065,0.0643402
25.8285,2.94264,11.7943,-0.670461,-0.670461,0.0749754
25.4512,2.96734,10.1615,-0.535244,-0.535244,0.0628132
25.5326,2.96793,11.5286,-0.626417,-0.626417,0.0754615
25.5236,2.9463,10.9113,-0.614736,-0.614736,0.0674421
25.6653,2.95651,10.984,-0.572874,-0.572874,0.0671742
25.5024,2.94821,11.416,-0.629667,-0.629667,0.0761544
25.5337,2.9611,12.1353,-0.65352,-0.65352,0.0774865
25.5614,2.95821,12.1585,-0.729367,-0.729367,0.0818236
25.3788,2.96838,11.8477,-0.68409,-0.68409,0.0768321
25.2645,2.97798,12.0619,-0.716501,-0.716501,0.0782287
25.3119,2.98274,11.892,-0.617777,-0.617777,0.0688623
25.6789,2.94553,10.1034,-0.524411,-0.524411,0.0620333
